T,r
0.2368,0.4416
1.7789,1.4174
101.1819,14.3227
901.3993,51.1808
2.9057,1.8785
324.1751,28.6467
11083.6356,212.0339
877.5610,48.6989
669.4178,42.6630
5.3225,2.5876
12765.8214,235.1525
1.1012,1.0612
0.3847,0.5745
3.9168,2.2246
271.0139,25.4044
6155.6859,153.9292
0.1299,0.3080
3055.3023,102.3835
2963.9434,101.5335
106.1594,14.8251
1422.3098,65.1049
0.2717,0.4707
0.2262,0.4239
6578.1993,155.4073
28.1183,6.9604
0.7024,0.8123
481.2709,35.2852
9738.5829,199.0763
209.6616,21.8244
3.0554,1.9267
22.6025,6.1303
1229.2800,60.6209
0.0488,0.1777
0.4494,0.6357
17.2813,5.1414
134.5691,17.1818
2.7355,1.7971
1.5350,1.2698
0.0334,0.1423
0.0305,0.1320
1.0889,1.0737
48.0940,9.1691
68.0310,11.4288
26.3502,6.7204
7.9374,3.2820
0.7673,0.8575
7.0048,3.0350
0.1378,0.3260
0.0982,0.2669
1.5619,1.2867
46894.4875,480.5796
2.3035,1.6133
18962.6289,291.0208
5.9262,2.8247
11.9631,4.2062
2353.3138,88.7793
0.0737,0.2220
0.2755,0.4725
32591.9310,400.1344
32.7819,7.4366
0.0352,0.1458
0.0378,0.1497
11928.1620,226.9113
7565.9922,170.0401
15.7610,4.9614
0.2041,0.4016
3800.0201,117.8143
2.2367,1.5874
8.9647,3.5488
444.7851,33.4549
3.2713,2.0287
198.4539,21.1559
8845.1568,188.2063
2346.4774,89.0143
5.1963,2.5797
1.2290,1.1616
1.2396,1.1379
3.2456,1.9473
26.7929,6.6912
8.4979,3.4752
0.1304,0.3104
0.2051,0.4024
2.9552,1.8556
74.1664,11.9966
118.0355,15.5685
24.1599,6.2873
991.9837,54.0393
957.0011,53.3410
10.2235,3.8175
0.1093,0.2886
44.5485,9.1432
4.9873,2.5766
0.1424,0.3237
35444.7688,428.2648
4.3559,2.3319
185.7850,20.6446
25.4794,6.5009
0.1507,0.3375
0.0414,0.1605
187.1683,20.6396
0.6817,0.8198
0.6699,0.7967
25591.6322,346.5981
17.0358,5.1061
0.0283,0.1285
2.7880,1.8075
101.4496,14.5217
2.3691,1.6420
0.0274,0.1257
12.9078,4.4004
0.0876,0.2465
171.8856,19.5099
174.6467,19.5810
0.0310,0.1379
1.2992,1.1890
8.0092,3.3901
61.5854,10.8495
1.4657,1.2449
1.2268,1.1598
37255.6512,432.6568
0.0348,0.1428
40873.2729,455.4590
0.0355,0.1502
1.3094,1.1656
27.0658,6.7011
0.1509,0.3389
0.1346,0.3153
0.7848,0.8873
32344.8541,399.0009
5.0774,2.5471
77.3115,12.4050
599.3247,40.2859
1047.6516,55.6489
471.3483,35.0787
2.6127,1.7631
0.0939,0.2590
1.1872,1.1017
0.3948,0.5996
0.1375,0.3192
0.0265,0.1232
17988.8625,289.2157
14858.4156,255.1988
0.0378,0.1536
0.2414,0.4368
0.1431,0.3281
1.2009,1.0971
0.3829,0.5686
21605.6271,315.2709
0.0662,0.2048
0.4043,0.6067
0.0620,0.1989
35576.7162,423.0737
14279.6550,249.5652
719.3410,44.7506
9.6158,3.7641
0.3073,0.5052
0.4706,0.6596
12.5929,4.3530
1539.0440,69.4437
0.9324,0.9533
1.8030,1.4113
123.1403,16.5644
0.6024,0.7574
99.4177,14.4880
5.6345,2.7039
0.0297,0.1340
6.9364,3.0873
15062.4999,251.9396
1.4082,1.2140
2.1070,1.5637
0.0493,0.1754
159.5149,18.8383
5236.3182,138.4593
3.3373,2.0205
0.6245,0.7739
24643.0811,345.5243
1111.6303,57.0166
81.2201,12.5291
1.6831,1.3494
0.4735,0.6557
690.8202,44.4136
40.2754,8.5130
39.0828,8.4272
0.0558,0.1873
35.1225,7.8450
3503.4645,110.4856
21626.1538,317.8207
0.0892,0.2481
208.3074,21.6103
84.9510,12.6561
9365.1225,196.4442
1236.0586,60.0937
28764.6169,371.9416
26172.3831,355.7391
0.5082,0.6836
833.6493,48.2005
46.1417,9.1704
0.4368,0.6220
0.3300,0.5258
0.0636,0.1995
2331.5283,87.6391
2.1613,1.5861
5820.5567,147.8775
145.0962,17.7885
399.1888,31.0277
1.3478,1.1992
15.7369,4.9149
8.1944,3.3508
0.6011,0.7444
4135.1385,120.0708
181.9694,20.0019
0.0333,0.1375
3370.0936,107.8570
0.0899,0.2467
7.0586,3.1136
88.0836,12.9736
0.0203,0.1067
291.5798,26.0068
318.6545,27.5563
281.9465,25.9224
0.2109,0.4024
0.8002,0.8830
0.7268,0.8223
26692.3265,355.8434
0.0492,0.1777
10.3857,3.8546
7136.5207,167.0098
1570.8830,70.1830
3483.1973,110.2018
31993.8879,394.8979
5.3149,2.7069
1.7934,1.3977
0.0292,0.1298
0.1727,0.3589
72.0929,11.9916
0.1841,0.3830
975.0354,52.9139
0.0313,0.1373
0.8259,0.9117
526.5614,37.3646
0.7920,0.8812
850.9018,49.6207
44040.9259,482.6926
2377.8118,88.7952
2.7738,1.8384
10679.3191,214.4186
0.0390,0.1546
846.4267,48.0594
0.0262,0.1220
0.2471,0.4423
38347.5703,449.8317
3.6786,2.1622
3369.6495,108.3933
4.8177,2.4611
4553.2308,128.0089
27909.7863,372.5049
11.6651,4.0835
70.9499,11.7224
200.9123,21.1504
18026.4129,287.0291
0.7874,0.8906
155.5945,18.2387
2.2391,1.5890
0.4399,0.6345
0.0633,0.2061
178.3787,19.7693
8403.9586,183.1503
3.3229,1.9943
63.7103,11.0740
248.3627,23.7265
8.3587,3.4181
10916.2895,219.5112
3.8996,2.1970
0.1174,0.2900
0.1545,0.3410
9446.4419,197.3584
38468.5796,451.4526
1.2904,1.1716
0.1510,0.3398
22.4335,6.0770
661.6961,42.1234
154.5985,18.4187
23848.6384,329.7013
3221.5468,105.9097
7062.8969,163.7955
54.9604,10.0835
